fs_type,D,W,F,profile,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
A,2,10,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,31.1089,81.6667,32159.8,7969
A,2,10,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,31.3795,101.133,33033.6,13001
A,2,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,51.223,221.233,19527.2,185253
A,2,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,79.8147,807.8,12537.5,168060
A,2,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,25.0022,227.433,39998.6,162938
A,2,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,92.1223,315.2,10864.1,326107
A,2,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,87.7477,1448.83,18299.8,316975
A,2,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,47.2016,936.867,21201.6,308970
A,2,50,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,36.5133,131.467,27387.8,146999
A,2,50,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,35.7364,95.8333,27985.8,129143
A,2,50,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,36.0559,75.3667,27764,122858
A,2,50,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,35.5683,122.767,28146.5,133049
A,2,50,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,34.7741,95.4,28769.5,119006
A,2,50,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,35.4659,84.8667,28219.9,117371
A,2,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,48.9463,159.267,20444.4,251252
A,2,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,77.1128,751.333,12968.6,299468
A,2,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,26.8804,277.533,37206.3,304665
A,2,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,94.237,232.9,10614.4,375593
A,2,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,118.965,2316.4,15007.6,464454
A,2,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,50.2043,1008.07,19924.4,372272
A,2,50,0.95,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,34.5558,70.0667,28955.9,218047
A,2,50,0.95,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,36.7563,80.2667,27214.9,263338
A,2,50,0.95,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,35.8948,79.4333,27860.4,272020
A,2,50,0.95,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,35.5431,93.5,28167.3,191449
A,2,50,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,36.4141,81.5667,27485.9,250132
A,2,50,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,35.2437,90.9667,28437.4,263650
A,2,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,55.1843,157.867,18185.1,4080813
A,2,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,78.8109,643.233,12804.2,4034022
A,2,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,92.6596,818.8,13495,4028762
A,2,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,94.3087,207.7,10652.2,4184693
A,2,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,354.308,5949.53,2977.11,4166291
A,2,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,103.018,1796.47,9707.14,4163942
A,2,300,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,38.8216,96.9667,25792.9,4085637
A,2,300,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,36.3652,84.1333,27562,4001296
A,2,300,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,69.1918,269.767,14528.8,3987275
A,2,300,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,40.0845,117.767,25021.7,3992916
A,2,300,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,35.0705,114.033,28572.3,3979906
A,2,300,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,55.8446,253.8,18095.8,3975836
A,2,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,118.147,513.3,8654.32,7106217
A,2,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,152.823,1330.17,6552.23,6658126
A,2,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,113.777,852.267,8819.87,6520276
A,2,300,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,220.356,601.367,4542.3,7209561
A,2,300,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,632.686,13744.7,1588.04,6889580
A,2,300,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,122.981,1978.77,8131.62,7145546
A,2,300,0.95,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,88.4414,249.667,11309,7108883
A,2,300,0.95,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,80.7059,248.633,12428.8,7023664
A,2,300,0.95,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,71.7412,314.467,14044.8,6478647
A,2,300,0.95,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,85.6525,288.5,11985.5,7016627
A,2,300,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,77.2258,256.333,12969.2,6603960
A,2,300,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,59.7723,223.933,16731.6,6422679
A,10,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,252.763,865.533,3970.2,146612098
A,10,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,479.941,5631.3,2116.53,146555142
A,10,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,400.035,2338.77,2511.34,146548155
A,10,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,329.651,1042.07,3034.14,146727921
A,10,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,1245.56,15335.9,842.526,146701727
A,10,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,1476.02,20712.8,889.683,146701851
A,10,10,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,194.595,461.733,5159.86,146624789
A,10,10,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,324.2,4573.6,3155.72,146518282
A,10,10,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,255.954,686.333,3943.85,146510966
A,10,10,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,222.388,562.5,4509.84,146525930
A,10,10,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,352.973,4537.8,2840.32,146511384
A,10,10,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,237.818,1070.57,4211.7,146501315
A,10,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,344.088,1251.73,2909.46,146622363
A,10,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,314.115,1730.77,3637.53,146562350
A,10,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,30.4454,148.167,33043.8,146551872
A,10,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,411.85,1176.03,2483.68,146726662
A,10,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,529.767,12209.7,1896.81,146708859
A,10,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,511.52,7340.17,1955.93,146696903
A,10,10,0.95,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,246.761,625.867,4060.1,146631455
A,10,10,0.95,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,117.873,192.833,8537.95,146519823
A,10,10,0.95,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,120.66,177.867,8292.26,146512378
A,10,10,0.95,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,240.668,496.7,4175.37,146534642
A,10,10,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,152.402,387.867,6621.18,146509630
A,10,10,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,118.64,556.333,8491.29,146508371
A,10,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,141.24,444,7085.53,146614180
A,10,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,185.515,820.067,5723.03,146563168
A,10,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,160.058,621.133,6313.59,146552757
A,10,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,188.312,481.9,5324.99,146715155
A,10,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,421.094,5505.07,2437.96,146700239
A,10,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,393.829,4089.63,2554.98,146699824
A,10,50,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,116.561,168.2,8703.58,146625029
A,10,50,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,131.631,244.367,7738.37,146523966
A,10,50,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,100.192,171.567,10025.6,146507419
A,10,50,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,112.528,259.933,8972.95,146522357
A,10,50,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,125.786,336.733,8385.81,146506956
A,10,50,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,90.767,257.2,11082.5,146502634
A,10,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,141.368,580.8,7133.73,146613335
A,10,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,134.026,690.8,7472.77,146562299
A,10,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,157.324,1140.37,6408.85,146547231
A,10,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,270.283,542.367,3704.28,146716126
A,10,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,515.076,7000.27,1946.08,146708445
A,10,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,456.694,6504.77,2217.5,146703975
A,10,50,0.95,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,108.913,392.6,9256.79,146623987
A,10,50,0.95,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,96.5298,517.6,10402,146527626
A,10,50,0.95,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,87.7969,143.5,11412.7,146507910
A,10,50,0.95,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,120.154,211.267,8331.72,146526802
A,10,50,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,108.209,589.2,9748.24,146508852
A,10,50,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,84.6944,244.933,11879.5,146501966
A,10,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,168.382,873.267,6258.63,146610696
A,10,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,175.466,673.467,5772.42,146561911
A,10,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,184.626,1559.1,5702.93,146553763
A,10,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,200.359,563.367,5013.66,146716795
A,10,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,277.323,2833.83,3608.73,146699084
A,10,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,504.472,7405.73,2008.02,146701384
A,10,300,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,106.115,153.2,9797.47,146618264
A,10,300,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,109.448,779.767,9429.53,146517411
A,10,300,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,91.0241,318,11240.1,146511615
A,10,300,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,106.048,508.233,9698,146522009
A,10,300,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,94.9326,557.167,10556.6,146504864
A,10,300,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,100.758,168.867,10153.5,146506176
A,10,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,141.119,416.367,7203.08,146619479
A,10,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,144.944,590.833,6904.37,146570398
A,10,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,163.532,1029.4,6164.25,146555315
A,10,300,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,210.199,439.5,4780.71,146730037
A,10,300,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,322.45,3510.47,3166.48,146705156
A,10,300,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,499.431,7595.33,2093.39,146705120
A,10,300,0.95,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,127.398,942.567,7905.28,146626569
A,10,300,0.95,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,93.8635,142.133,10793.7,146523814
A,10,300,0.95,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,84.932,144.8,11774.1,146505338
A,10,300,0.95,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,169.954,1416.53,5911.92,146529384
A,10,300,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,95.3862,313.467,10533.2,146511810
A,10,300,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,92.2891,343.1,10845.1,146501382
A,20,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,236.182,724.067,4234.42,146614733
A,20,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,288.238,1328.73,3677.5,146561339
A,20,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,125.119,844.733,11560,146550414
A,20,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,329.758,758.833,3044,146715801
A,20,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,501.28,3802.8,2006.12,146703339
A,20,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,296.806,3620.23,5122.1,146704369
A,20,10,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,175.664,544.4,6111.47,146624001
A,20,10,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,164.244,456.733,6151.77,146510920
A,20,10,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,125.176,249.867,7997.69,146509948
A,20,10,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,160.362,446.833,6259,146526165
A,20,10,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,169.272,719.733,5974.88,146511063
A,20,10,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,138.905,327.633,7281.41,146502729
A,20,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,246.676,832.4,4159.53,146619990
A,20,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,270.636,1244.13,3696.46,146562573
A,20,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,241.502,1313.97,4177.87,146550496
A,20,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,336.132,741.167,2999.69,146722959
A,20,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,433.483,4228.2,2333.52,146705582
A,20,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,480.974,4256.13,2104.31,146702288
A,20,10,0.95,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,243.981,376.9,4135.75,146625670
A,20,10,0.95,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,190.933,653.3,5238.86,146521792
A,20,10,0.95,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,189.754,973.8,17770.1,146506509
A,20,10,0.95,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,184.738,486.567,5415.41,146530252
A,20,10,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,151.112,637.467,6825.2,146517440
A,20,10,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,237.841,1477.27,4420.07,146497289
A,20,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,309.056,1533,3300.72,146616797
A,20,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,226.093,1036.63,4511.65,146566637
A,20,50,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,221.371,836,4573.37,146553853
A,20,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,375.714,885.733,2670.29,146726972
A,20,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,466.497,5659.6,2148.74,146708929
A,20,50,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,820.865,10731.7,1522.93,146706291
A,20,50,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,171.451,581.167,5865.43,146627553
A,20,50,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,153.231,687.6,6606.98,146526402
A,20,50,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,118.331,291.033,8497.99,146509255
A,20,50,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,315,2217.03,3460.54,146533158
A,20,50,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,193.086,322.6,5182.24,146500172
A,20,50,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,142.785,479.6,7161.31,146504323
A,20,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,227.424,963.967,4668.59,146616686
A,20,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,254.569,1031.1,3968.01,146554663
A,20,50,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,217.357,777.5,4695.46,146547173
A,20,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,333.49,1037.13,3037.54,146721313
A,20,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,458.865,4891.33,2179.58,146706366
A,20,50,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,618.225,7723.13,1677.9,146696465
A,20,50,0.95,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,178.485,502.733,5615.44,146624188
A,20,50,0.95,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,135.285,424.067,7393.05,146523883
A,20,50,0.95,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,129.965,235.433,7696.55,146506996
A,20,50,0.95,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,173.9,307.433,5754.64,146528026
A,20,50,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,153.508,492.833,6554.11,146512444
A,20,50,0.95,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,143.413,1142.43,7173.35,146503736
A,20,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,205.101,732.133,4927.2,146622981
A,20,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,211.759,826.367,4750.93,146556768
A,20,300,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,237.584,1390.07,4332.1,146549972
A,20,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,311.711,732.133,3228.48,146717263
A,20,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,455.042,3980.97,2247.35,146700279
A,20,300,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,674.255,7083.43,1781.18,146696692
A,20,300,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,176.975,820.067,5714.71,146624643
A,20,300,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,132.718,238.567,7575.81,146524586
A,20,300,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,120.349,228.533,8735.54,146504124
A,20,300,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,175.08,535.9,5724.73,146526342
A,20,300,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,216.901,866.8,4867.55,146507154
A,20,300,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,125.445,259.433,8596.05,146507405
A,20,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,225.706,727.3,4492.32,146608386
A,20,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,199.917,973.367,5100.6,146561046
A,20,300,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,180.291,991.867,5558.64,146553138
